Nome da ferramenta,País de origem,Preparação da ficha técnica detalhada,Instituição Responsável,Finalidade da Ferramenta,Momento de atividade produtiva,Taxonomia de ferramentas (principal),Canais de acesso à informação,Tipologia dos Canais de Comunicação,Público-alvo principal,Âmbito de aplicação,Modelo de Acesso,Dimensão de interação,Natureza Institucional,Categoria da organização,Idioma de disponibilidade,Integração com o WhatsApp,Conectividade necessária,Nível de digitalização,Nível de abertura da ferramenta,Link,Descrição (resumo)
Rauch (Alemanha),Internacional,Não,"Rauch Landmaschinenfabrik Gesellschaft mit beschränkter Haftung
",Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=de.ms.neusta.rauch_streutabelle_android,"O aplicativo RAUCH (anteriormente ""Tabela de Fertilizantes"") é uma tabela de configuração interativa para as séries atuais e anteriores de distribuidores de fertilizantes RAUCH, que, ao contrário da versão online, também pode ser usada offline. No aplicativo Distribuidor de Fertilizantes RAUCH, você encontrará valores de configuração específicos para dosagem e distribuição de mais de 3.000 fertilizantes diferentes, granulados e finos, calculados dinamicamente para o seu modelo e configuração, mesmo para máquinas sem controles elétricos."
Consultas agrícolas online - Consulte especialistas,Argentina,Sim,Consultas agrícolas online,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Extensionista,Privado,Setor Privado,Espanhol,Sim,Sim,Digitalização,Acessível a terceiros, https://www.agroconsultasonline.com/,"Uma plataforma digital para consulta com especialistas, participação em eventos online e troca de experiências. Além da consulta pública, a plataforma oferece uma biblioteca digital com artigos, ferramentas, vídeos e materiais técnicos, organizados por tema e tipo de produção."
Bate-papo ACO,Argentina,Sim,Consultas agrícolas online,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site; Chatbots,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.agroconsultasonline.com/chataco,É um assistente de inteligência artificial para a agricultura.
Treinamento,Argentina,Sim,Consultas agrícolas online,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Plataformas de e-learning,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.agroconsultasonline.com/trainings,"Plataforma de treinamento online focada em capacitação técnica no setor agrícola, oferecendo cursos, treinamentos e conteúdo especializado ministrado por especialistas."
Serviço Meteorológico Nacional da Argentina,Argentina,Não,Ministério da Defesa,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.smn.gob.ar/radar,"A ferramenta fornece imagens de radar meteorológico quase em tempo real, permitindo que os usuários acompanhem a ocorrência e a intensidade de chuvas, tempestades e outros eventos atmosféricos. Ela auxilia no monitoramento meteorológico, na emissão de alertas e na tomada de decisões."
Informações agroclimáticas,Argentina,Não,INTA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.argentina.gob.ar/informacion-agroclimatica,"Ferramentas: AgroMet Semanal, AgroMet Mensal, AgroCultivos"
INTA GEO,Argentina,Não,INTA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.argentina.gob.ar/inta,Plataforma geoespacial para a gestão integral de informações geográficas para o setor agrícola - https://www.argentina.gob.ar/inta
Repositório Digital INTA; e Publicações INTA,Argentina,Não,INTA,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitação,Acessível a terceiros,https://www.argentina.gob.ar/inta,"Acesso público gratuito a livros, artigos de periódicos, teses, relatórios técnicos e apresentações, entre outros; Editora especializada em publicações sobre pesquisa, desenvolvimento e inovação tecnológica aplicadas ao setor agrícola."
AGRO24,Argentina,Sim,AGRO24, Gerenciamento,Antes ,Economia compartilhada,Site,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Produtor,Privado,Comece,Espanhol,,Sim,Digitalização,Acessível a terceiros,https://agro24.ar/,Plataforma que conecta produtores e consumidores para simplificar o processo de compra e fornecimento de insumos agrícolas.
Agricultura justa,Argentina,Sim,Agricultura justa,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://agrojusto.com.ar/,"Um conjunto de soluções tecnológicas que permite a venda direta de pequenos produtores para compradores. Inclui um aplicativo móvel para produtores rurais e agroalimentares, integrado a um sistema interno de mensagens e notificações, outros parâmetros específicos do setor alimentício e uma plataforma de comércio eletrônico."
